plateau_id,pressure_mean_psi,diameter_mean_in,t_start_s,t_end_s,t_settled_s,n_frames_settled,creep_rate_diam_in_per_s,creep_rate_strain_median_per_s,creep_rate_strain_p90_per_s
0,0.0948033,31.1631,305.3,665.645,365.3,61,-4.11828e-05,-1.69521e-06,-1.43644e-06
1,0.145727,31.5283,915.881,1301.3,975.881,66,-1.95374e-05,-1.1369e-06,5.51608e-06
2,0.197261,31.721,1451.47,1621.62,1511.47,23,9.21019e-05,1.28304e-05,3.54917e-05
3,0.1905,31.7251,1691.69,1936.93,1751.69,38,-3.58102e-05,2.67475e-06,1.53438e-05
4,0.23125,31.9207,2307.34,2582.65,2367.34,44,0,-2.63935e-06,3.15099e-05
5,0.285289,32.1436,2792.88,3228.37,2852.88,76,1.25045e-05,8.77698e-06,5.17031e-05
6,0.334014,32.455,3493.62,3893.96,3553.62,69,5.85046e-05,6.78431e-06,5.95137e-05
7,0.373286,32.8479,4259.3,4559.58,4319.3,49,4.94597e-05,2.95205e-07,3.32434e-05
8,0.418277,33.2574,4959.98,5250.26,5019.98,47,5.58171e-05,3.59864e-05,1.28991e-05
9,0.465705,33.7041,5665.63,5940.87,5725.63,44,5.82783e-05,3.51026e-06,4.9452e-05
10,0.507737,34.1716,6416.33,6661.57,6476.33,38,3.76364e-05,-1.01685e-05,6.50374e-05
11,0.557717,34.761,7137.07,7457.41,7197.07,53,7.65675e-05,2.06254e-05,3.76014e-05
